RE-1_R2_S04_CH21_B  637604228 0 0
RE-1_R2_S04_CH21_C  637636996 0 0
RE+1_R2_S04_CH21_A  637571462 -4.24462 1.73074
RE+1_R2_S04_CH21_B  637604230 -3.49772 2.07012
RE+1_R2_S04_CH21_C  637636998 -3.0844 1.91728
RE-1_R3_S04_CH21_A  637571464 0 0
RE-1_R3_S04_CH21_B  637604232 0 0
RE-1_R3_S04_CH21_C  637637000 0 0
RE+1_R3_S04_CH21_A  637571466 0.104426 3.68972
RE+1_R3_S04_CH21_B  637604234 0.698862 3.78893
RE+1_R3_S04_CH21_C  637637002 0.740194 3.54992
RE-1_R2_S05_CH27_A  637571588 0 0
RE-1_R2_S05_CH27_B  637604356 0 0
RE-1_R2_S05_CH27_C  637637124 0 0
RE+1_R2_S05_CH27_A  637571590 -4.5413 1.38688
RE+1_R2_S05_CH27_B  637604358 -3.91947 1.21975
RE+1_R2_S05_CH27_C  637637126 -3.14642 1.39848
RE-1_R3_S05_CH27_A  637571592 0 0
RE-1_R3_S05_CH27_B  637604360 0 0
RE-1_R3_S05_CH27_C  637637128 0 0
RE+1_R3_S05_CH27_A  637571594 0.210761 3.30459
RE+1_R3_S05_CH27_B  637604362 0.00480781 3.54384
RE+1_R3_S05_CH27_C  637637130 0.357922 3.20685
RE-1_R2_S06_CH33_A  637571716 0 0
RE-1_R2_S06_CH33_B  637604484 0 0
RE-1_R2_S06_CH33_C  637637252 0 0
RE+1_R2_S06_CH33_A  637571718 -4.79582 1.93144
RE+1_R2_S06_CH33_B  637604486 -3.95509 2.47447
RE+1_R2_S06_CH33_C  637637254 -3.38567 1.9632
RE-1_R3_S06_CH33_A  637571720 0 0
RE-1_R3_S06_CH33_B  637604488 0 0
RE-1_R3_S06_CH33_C  637637256 0 0
RE+1_R3_S06_CH33_A  637571722 0 0
RE+1_R3_S06_CH33_B  637604490 0 0
RE+1_R3_S06_CH33_C  637637258 0 0
RE-1_R2_S01_CH04_A  637575172 0 0
RE-1_R2_S01_CH04_B  637607940 0 0
RE-1_R2_S01_CH04_C  637640708 0 0
RE+1_R2_S01_CH04_A  637575174 0.185555 6.30162
RE+1_R2_S01_CH04_B  637607942 0.0777289 5.83588
RE+1_R2_S01_CH04_C  637640710 0.227397 5.20486
RE-1_R3_S01_CH04_A  637575176 0 0
RE-1_R3_S01_CH04_B  637607944 0 0
RE-1_R3_S01_CH04_C  637640712 0 0
RE+1_R3_S01_CH04_A  637575178 0.245446 3.26742
RE+1_R3_S01_CH04_B  637607946 0.580298 3.58172
RE+1_R3_S01_CH04_C  637640714 1.12927 3.27755
RE-1_R2_S02_CH10_A  637575300 0 0
RE-1_R2_S02_CH10_B  637608068 0 0
RE-1_R2_S02_CH10_C  637640836 0 0
RE+1_R2_S02_CH10_A  637575302 0.7573 6.01511
RE+1_R2_S02_CH10_B  637608070 0.0731041 5.55125
RE+1_R2_S02_CH10_C  637640838 0.37819 4.85642
RE-1_R3_S02_CH10_A  637575304 0 0
RE-1_R3_S02_CH10_B  637608072 0 0
RE-1_R3_S02_CH10_C  637640840 0 0
RE+1_R3_S02_CH10_A  637575306 0.342533 2.40345
RE+1_R3_S02_CH10_B  637608074 0.326637 2.74666
RE+1_R3_S02_CH10_C  637640842 0.0734295 2.36008
RE-1_R2_S03_CH16_A  637575428 0 0
RE-1_R2_S03_CH16_B  637608196 0 0
RE-1_R2_S03_CH16_C  637640964 0 0
RE+1_R2_S03_CH16_A  637575430 0.0995272 6.27004
RE+1_R2_S03_CH16_B  637608198 -0.0902764 5.50475
RE+1_R2_S03_CH16_C  637640966 0.452122 4.67724
RE-1_R3_S03_CH16_A  637575432 0 0
RE-1_R3_S03_CH16_B  637608200 0 0
RE-1_R3_S03_CH16_C  637640968 0 0
RE+1_R3_S03_CH16_A  637575434 0.40617 0
RE+1_R3_S03_CH16_B  637608202 -4.71262 0
RE+1_R3_S03_CH16_C  637640970 -7.73867 0
RE-1_R2_S04_CH22_A  637575556 0 0
RE-1_R2_S04_CH22_B  637608324 0 0
RE-1_R2_S04_CH22_C  637641092 0 0
RE+1_R2_S04_CH22_A  637575558 -0.376907 5.58237
RE+1_R2_S04_CH22_B  637608326 0.475845 5.29137
RE+1_R2_S04_CH22_C  637641094 -0.38873 4.33571
RE-1_R3_S04_CH22_A  637575560 0 0
RE-1_R3_S04_CH22_B  637608328 0 0
RE-1_R3_S04_CH22_C  637641096 0 0
RE+1_R3_S04_CH22_A  637575562 0.271683 3.4369
RE+1_R3_S04_CH22_B  637608330 1.28252 3.66877
RE+1_R3_S04_CH22_C  637641098 1.19452 3.43484
RE-1_R2_S05_CH28_A  637575684 0 0
RE-1_R2_S05_CH28_B  637608452 0 0
RE-1_R2_S05_CH28_C  637641220 0 0
RE+1_R2_S05_CH28_A  637575686 0.223513 6.0301
RE+1_R2_S05_CH28_B  637608454 -0.460639 5.11182
RE+1_R2_S05_CH28_C  637641222 0.186719 4.37975
RE-1_R3_S05_CH28_A  637575688 0 0
RE-1_R3_S05_CH28_B  637608456 0 0
RE-1_R3_S05_CH28_C  637641224 0 0
RE+1_R3_S05_CH28_A  637575690 0 0
RE+1_R3_S05_CH28_B  637608458 0 0
RE+1_R3_S05_CH28_C  637641226 0 0
RE-1_R2_S06_CH34_A  637575812 0 0
RE-1_R2_S06_CH34_B  637608580 0 0
RE-1_R2_S06_CH34_C  637641348 0 0
RE+1_R2_S06_CH34_A  637575814 0.618866 5.55223
RE+1_R2_S06_CH34_B  637608582 -0.359434 5.88888
RE+1_R2_S06_CH34_C  637641350 0.481624 4.69163
RE-1_R3_S06_CH34_A  637575816 0 0
RE-1_R3_S06_CH34_B  637608584 0 0
RE-1_R3_S06_CH34_C  637641352 0 0
RE+1_R3_S06_CH34_A  637575818 0 0
RE+1_R3_S06_CH34_B  637608586 0 0
RE+1_R3_S06_CH34_C  637641354 0 0
RE-1_R2_S01_CH05_A  637579268 0 0
RE-1_R2_S01_CH05_B  637612036 0 0
RE-1_R2_S01_CH05_C  637644804 0 0
RE+1_R2_S01_CH05_A  637579270 -4.31696 1.49395
RE+1_R2_S01_CH05_B  637612038 -3.74805 1.30209
RE+1_R2_S01_CH05_C  637644806 -3.10003 1.33788
RE-1_R3_S01_CH05_A  637579272 0 0
RE-1_R3_S01_CH05_B  637612040 0 0
RE-1_R3_S01_CH05_C  637644808 0 0
RE+1_R3_S01_CH05_A  637579274 -0.0752028 3.2379
RE+1_R3_S01_CH05_B  637612042 0.421354 3.5197
RE+1_R3_S01_CH05_C  637644810 0.776093 3.25079
RE-1_R2_S02_CH11_A  637579396 0 0
RE-1_R2_S02_CH11_B  637612164 0 0
RE-1_R2_S02_CH11_C  637644932 0 0
RE+1_R2_S02_CH11_A  637579398 0 0
RE+1_R2_S02_CH11_B  637612166 0 0
RE+1_R2_S02_CH11_C  637644934 0 0
RE-1_R3_S02_CH11_A  637579400 0 0
RE-1_R3_S02_CH11_B  637612168 0 0
RE-1_R3_S02_CH11_C  637644936 0 0
RE+1_R3_S02_CH11_A  637579402 0.197791 2.7284
RE+1_R3_S02_CH11_B  637612170 -0.141823 3.09681
RE+1_R3_S02_CH11_C  637644938 -0.210979 2.80217
RE-1_R2_S03_CH17_A  637579524 0 0
RE-1_R2_S03_CH17_B  637612292 0 0
RE-1_R2_S03_CH17_C  637645060 0 0
RE+1_R2_S03_CH17_A  637579526 -4.86742 1.71892
RE+1_R2_S03_CH17_B  637612294 -4.06795 1.81338
RE+1_R2_S03_CH17_C  637645062 -3.18202 1.93495
RE-1_R3_S03_CH17_A  637579528 0 0
RE-1_R3_S03_CH17_B  637612296 0 0
RE-1_R3_S03_CH17_C  637645064 0 0
RE+1_R3_S03_CH17_A  637579530 -0.458781 3.2015
RE+1_R3_S03_CH17_B  637612298 -0.433772 3.42022
RE+1_R3_S03_CH17_C  637645066 -1.14886 3.35963
RE-1_R2_S04_CH23_A  637579652 0 0
RE-1_R2_S04_CH23_B  637612420 0 0
RE-1_R2_S04_CH23_C  637645188 0 0
RE+1_R2_S04_CH23_A  637579654 -4.38512 1.90773
RE+1_R2_S04_CH23_B  637612422 -3.68512 1.64148
RE+1_R2_S04_CH23_C  637645190 -2.95154 1.84521
RE-1_R3_S04_CH23_A  637579656 0 0
RE-1_R3_S04_CH23_B  637612424 0 0
RE-1_R3_S04_CH23_C  637645192 0 0
RE+1_R3_S04_CH23_A  637579658 0.263064 4.29993
RE+1_R3_S04_CH23_B  637612426 0.439607 4.06853
RE+1_R3_S04_CH23_C  637645194 0.773041 3.63343
RE-1_R2_S05_CH29_A  637579780 0 0
RE-1_R2_S05_CH29_B  637612548 0 0
RE-1_R2_S05_CH29_C  637645316 0 0
RE+1_R2_S05_CH29_A  637579782 0 0
RE+1_R2_S05_CH29_B  637612550 0 0
RE+1_R2_S05_CH29_C  637645318 0 0
RE-1_R3_S05_CH29_A  637579784 0 0
RE-1_R3_S05_CH29_B  637612552 0 0
RE-1_R3_S05_CH29_C  637645320 0 0
RE+1_R3_S05_CH29_A  637579786 0.468664 3.21388
RE+1_R3_S05_CH29_B  637612554 -0.415215 3.46492
RE+1_R3_S05_CH29_C  637645322 -0.890722 3.04103
RE-1_R2_S06_CH35_A  637579908 0 0
RE-1_R2_S06_CH35_B  637612676 0 0
RE-1_R2_S06_CH35_C  637645444 0 0
RE+1_R2_S06_CH35_A  637579910 -4.57963 1.68524
RE+1_R2_S06_CH35_B  637612678 -4.21841 1.74262
RE+1_R2_S06_CH35_C  637645446 -3.28713 1.90034
RE-1_R3_S06_CH35_A  637579912 0 0
RE-1_R3_S06_CH35_B  637612680 0 0
RE-1_R3_S06_CH35_C  637645448 0 0
RE+1_R3_S06_CH35_A  637579914 0.350646 4.23279
RE+1_R3_S06_CH35_B  637612682 -0.272092 3.76658
RE+1_R3_S06_CH35_C  637645450 -0.868013 4.00515
RE-1_R2_S01_CH06_A  637583364 0 0
RE-1_R2_S01_CH06_B  637616132 0 0
RE-1_R2_S01_CH06_C  637648900 0 0
RE+1_R2_S01_CH06_A  637583366 -0.317744 6.46248
RE+1_R2_S01_CH06_B  637616134 0.00564961 5.601
RE+1_R2_S01_CH06_C  637648902 0.0491925 4.76325
RE-1_R3_S01_CH06_A  637583368 0 0
RE-1_R3_S01_CH06_B  637616136 0 0
RE-1_R3_S01_CH06_C  637648904 0 0
RE+1_R3_S01_CH06_A  637583370 -0.0256261 3.05863
RE+1_R3_S01_CH06_B  637616138 0.494532 3.21767
RE+1_R3_S01_CH06_C  637648906 0.724451 2.92554
RE-1_R2_S02_CH12_A  637583492 0 0
RE-1_R2_S02_CH12_B  637616260 0 0
RE-1_R2_S02_CH12_C  637649028 0 0
RE+1_R2_S02_CH12_A  637583494 1.27243 6.17062
RE+1_R2_S02_CH12_B  637616262 0.288081 5.67015
RE+1_R2_S02_CH12_C  637649030 0.309961 4.38068
RE-1_R3_S02_CH12_A  637583496 0 0
RE-1_R3_S02_CH12_B  637616264 0 0
RE-1_R3_S02_CH12_C  637649032 0 0
RE+1_R3_S02_CH12_A  637583498 0.341551 2.51163
RE+1_R3_S02_CH12_B  637616266 -0.324745 2.6776
RE+1_R3_S02_CH12_C  637649034 -0.476603 2.45101
RE-1_R2_S03_CH18_A  637583620 0 0
RE-1_R2_S03_CH18_B  637616388 0 0
RE-1_R2_S03_CH18_C  637649156 0 0
RE+1_R2_S03_CH18_A  637583622 0.228162 6.64416
RE+1_R2_S03_CH18_B  637616390 -1.16457 5.46893
RE+1_R2_S03_CH18_C  637649158 -0.470139 4.23006
RE-1_R3_S03_CH18_A  637583624 0 0
RE-1_R3_S03_CH18_B  637616392 0 0
RE-1_R3_S03_CH18_C  637649160 0 0
RE+1_R3_S03_CH18_A  637583626 -0.321643 3.2769
RE+1_R3_S03_CH18_B  637616394 -0.564734 3.43215
RE+1_R3_S03_CH18_C  637649162 -0.515213 3.30184
RE-1_R2_S04_CH24_A  637583748 0 0
RE-1_R2_S04_CH24_B  637616516 0 0
RE-1_R2_S04_CH24_C  637649284 0 0
RE+1_R2_S04_CH24_A  637583750 0.260875 5.866
RE+1_R2_S04_CH24_B  637616518 0.108528 5.70553
RE+1_R2_S04_CH24_C  637649286 -0.3382 4.58637
RE-1_R3_S04_CH24_A  637583752 0 0
RE-1_R3_S04_CH24_B  637616520 0 0
RE-1_R3_S04_CH24_C  637649288 0 0
RE+1_R3_S04_CH24_A  637583754 0.0769315 3.25409
RE+1_R3_S04_CH24_B  637616522 0.414594 4.04504
RE+1_R3_S04_CH24_C  637649290 1.07091 2.81475
RE-1_R2_S05_CH30_A  637583876 0 0
RE-1_R2_S05_CH30_B  637616644 0 0
RE-1_R2_S05_CH30_C  637649412 0 0
RE+1_R2_S05_CH30_A  637583878 -0.26693 5.92335
RE+1_R2_S05_CH30_B  637616646 0.175143 5.74543
RE+1_R2_S05_CH30_C  637649414 -0.524456 4.50165
RE-1_R3_S05_CH30_A  637583880 0 0
RE-1_R3_S05_CH30_B  637616648 0 0
RE-1_R3_S05_CH30_C  637649416 0 0
RE+1_R3_S05_CH30_A  637583882 -0.246001 2.57432
RE+1_R3_S05_CH30_B  637616650 -0.680675 3.22944
RE+1_R3_S05_CH30_C  637649418 -1.19903 2.99589
RE-1_R2_S06_CH36_A  637584004 0 0
RE-1_R2_S06_CH36_B  637616772 0 0
RE-1_R2_S06_CH36_C  637649540 0 0
RE+1_R2_S06_CH36_A  637584006 -0.373378 5.98913
RE+1_R2_S06_CH36_B  637616774 1.38691 4.74505
RE+1_R2_S06_CH36_C  637649542 -1.32315 4.20969
RE-1_R3_S06_CH36_A  637584008 0 0
RE-1_R3_S06_CH36_B  637616776 0 0
RE-1_R3_S06_CH36_C  637649544 0 0
RE+1_R3_S06_CH36_A  637584010 0.265935 3.68207
RE+1_R3_S06_CH36_B  637616778 0.386203 3.73515
RE+1_R3_S06_CH36_C  637649546 0.262067 3.47612
RE-1_R2_S01_CH07_A  637587460 0 0
RE-1_R2_S01_CH07_B  637620228 0 0
RE-1_R2_S01_CH07_C  637652996 0 0
RE+1_R2_S01_CH07_A  637587462 -4.47244 1.33075
RE+1_R2_S01_CH07_B  637620230 -3.97101 1.28839
RE+1_R2_S01_CH07_C  637652998 -3.29766 1.41355
RE-1_R3_S01_CH07_A  637587464 0 0
RE-1_R3_S01_CH07_B  637620232 0 0
RE-1_R3_S01_CH07_C  637653000 0 0
RE+1_R3_S01_CH07_A  637587466 -0.249425 2.96622
