RE+1_R3_CH02_C  637636618 -0.0226038 1.21836
RE-1_R2_CH08_A  637571204 -0.143277 1.15485
RE-1_R2_CH08_B  637603972 0.0993687 1.16096
RE-1_R2_CH08_C  637636740 0.296237 1.15063
RE+1_R2_CH08_A  637571206 0.155514 1.09883
RE+1_R2_CH08_B  637603974 0.0510401 1.01473
RE+1_R2_CH08_C  637636742 -0.00826226 1.09256
RE-1_R3_CH08_A  637571208 0.0534066 1.53245
RE-1_R3_CH08_B  637603976 -0.017971 1.55256
RE-1_R3_CH08_C  637636744 -0.0093928 1.32603
RE+1_R3_CH08_A  637571210 0.282741 1.39638
RE+1_R3_CH08_B  637603978 0.342639 1.50363
RE+1_R3_CH08_C  637636746 0.297729 1.23949
RE-1_R2_CH14_A  637571332 0.103892 1.06275
RE-1_R2_CH14_B  637604100 0.0854472 1.02015
RE-1_R2_CH14_C  637636868 -0.0296257 1.15067
RE+1_R2_CH14_A  637571334 -0.00874115 1.10825
RE+1_R2_CH14_B  637604102 0.0616122 1.12093
RE+1_R2_CH14_C  637636870 0.123698 1.08998
RE-1_R3_CH14_A  637571336 0.223378 1.52572
RE-1_R3_CH14_B  637604104 0.110645 1.54928
RE-1_R3_CH14_C  637636872 -0.033571 1.27969
RE+1_R3_CH14_A  637571338 0 0
RE+1_R3_CH14_B  637604106 0 0
RE+1_R3_CH14_C  637636874 0 0
RE-1_R2_CH20_A  637571460 -0.0443343 1.06216
RE-1_R2_CH20_B  637604228 -0.0568231 1.12699
RE-1_R2_CH20_C  637636996 -0.157339 1.11483
RE+1_R2_CH20_A  637571462 -0.334796 1.07051
RE+1_R2_CH20_B  637604230 -0.306859 1.07421
RE+1_R2_CH20_C  637636998 -0.299742 1.06961
RE-1_R3_CH20_A  637571464 -0.30112 1.50596
RE-1_R3_CH20_B  637604232 -0.315686 1.51934
RE-1_R3_CH20_C  637637000 -0.257517 1.29327
RE+1_R3_CH20_A  637571466 0.257748 1.49012
RE+1_R3_CH20_B  637604234 0.139152 1.57212
RE+1_R3_CH20_C  637637002 0.0122388 1.28145
RE-1_R2_CH26_A  637571588 -0.142585 1.05599
RE-1_R2_CH26_B  637604356 -0.117313 1.01826
RE-1_R2_CH26_C  637637124 -0.249436 1.12851
RE+1_R2_CH26_A  637571590 -0.129058 1.05859
RE+1_R2_CH26_B  637604358 -0.0620678 0.974818
RE+1_R2_CH26_C  637637126 0.0485785 1.12106
RE-1_R3_CH26_A  637571592 0.292217 1.47252
RE-1_R3_CH26_B  637604360 0.151892 1.59044
RE-1_R3_CH26_C  637637128 -0.000200856 1.29834
RE+1_R3_CH26_A  637571594 0.438581 1.36975
RE+1_R3_CH26_B  637604362 0.47743 1.49092
RE+1_R3_CH26_C  637637130 0.361711 1.2086
RE-1_R2_CH32_A  637571716 0.0247607 1.05483
RE-1_R2_CH32_B  637604484 0.078403 0.997259
RE-1_R2_CH32_C  637637252 0.395072 5.05283
RE+1_R2_CH32_A  637571718 -0.121653 1.06071
RE+1_R2_CH32_B  637604486 -0.00572791 1.03243
RE+1_R2_CH32_C  637637254 0.14341 1.08858
RE-1_R3_CH32_A  637571720 0.201124 1.72258
RE-1_R3_CH32_B  637604488 -0.0402721 1.83005
RE-1_R3_CH32_C  637637256 0.234701 1.31586
RE+1_R3_CH32_A  637571722 0.0989974 1.66161
RE+1_R3_CH32_B  637604490 0.0991005 1.48644
RE+1_R3_CH32_C  637637258 0.0639202 1.22478
RE-1_R2_CH03_A  637575172 -0.0652975 1.01521
RE-1_R2_CH03_B  637607940 -0.0299832 0.986564
RE-1_R2_CH03_C  637640708 -0.0195865 0.966119
RE+1_R2_CH03_A  637575174 0.0426308 1.07708
RE+1_R2_CH03_B  637607942 0.115125 1.05451
RE+1_R2_CH03_C  637640710 0.223809 1.03595
RE-1_R3_CH03_A  637575176 0.15885 1.5678
RE-1_R3_CH03_B  637607944 0.00268792 1.52798
RE-1_R3_CH03_C  637640712 -0.197562 1.36476
RE+1_R3_CH03_A  637575178 0.412386 1.51341
RE+1_R3_CH03_B  637607946 0.129751 1.57305
RE+1_R3_CH03_C  637640714 0.0165606 1.26632
RE-1_R2_CH09_A  637575300 0.15627 1.02759
RE-1_R2_CH09_B  637608068 0.157845 1.00124
RE-1_R2_CH09_C  637640836 0.0994548 1.03419
RE+1_R2_CH09_A  637575302 0.133272 1.05224
RE+1_R2_CH09_B  637608070 0.158516 0.951146
RE+1_R2_CH09_C  637640838 0.179622 0.993073
RE-1_R3_CH09_A  637575304 0.226358 1.57924
RE-1_R3_CH09_B  637608072 0.113267 1.6368
RE-1_R3_CH09_C  637640840 0.0306689 1.37232
RE+1_R3_CH09_A  637575306 0.236849 1.36952
RE+1_R3_CH09_B  637608074 0.0407728 1.52164
RE+1_R3_CH09_C  637640842 -0.0771128 1.23856
RE-1_R2_CH15_A  637575428 0.0707425 1.1034
RE-1_R2_CH15_B  637608196 0.204574 1.06609
RE-1_R2_CH15_C  637640964 0.334853 1.01311
RE+1_R2_CH15_A  637575430 0 0
RE+1_R2_CH15_B  637608198 0 0
RE+1_R2_CH15_C  637640966 0 0
RE-1_R3_CH15_A  637575432 0.0652762 1.53728
RE-1_R3_CH15_B  637608200 -0.0836412 1.56217
RE-1_R3_CH15_C  637640968 -0.161066 1.30573
RE+1_R3_CH15_A  637575434 0.0115879 1.39653
RE+1_R3_CH15_B  637608202 -0.0146451 1.51187
RE+1_R3_CH15_C  637640970 -0.088241 1.22435
RE-1_R2_CH21_A  637575556 -0.101271 1.01346
RE-1_R2_CH21_B  637608324 -0.0530513 0.985282
RE-1_R2_CH21_C  637641092 -0.00201054 1.04062
RE+1_R2_CH21_A  637575558 0.131913 1.09355
RE+1_R2_CH21_B  637608326 0.0843709 1.01274
RE+1_R2_CH21_C  637641094 0.0588808 1.0558
RE-1_R3_CH21_A  637575560 0.20148 1.70034
RE-1_R3_CH21_B  637608328 0.220219 1.52135
RE-1_R3_CH21_C  637641096 0.108177 1.30413
RE+1_R3_CH21_A  637575562 0.218856 1.4235
RE+1_R3_CH21_B  637608330 0.157091 1.47099
RE+1_R3_CH21_C  637641098 0.174387 1.22529
RE-1_R2_CH27_A  637575684 0.0708765 1.00425
RE-1_R2_CH27_B  637608452 0.160686 1.00575
RE-1_R2_CH27_C  637641220 0.18667 0.982172
RE+1_R2_CH27_A  637575686 0.0624035 1.0612
